Date,dist_200dma,tsmom_12m,valuation_proxy,yc_10y3m,mfg_emp_yoy
2009-09-30,0.2366660966472871,0.07798673358131225,-0.03350937950672772,3.17,-12.715760910529884
2009-10-31,0.15283550185598282,0.24899231955171697,-0.05838649677834851,3.36,-12.262140356218598
2009-11-30,0.17739298234339174,0.49055876340791693,0.003930993292145635,3.15,-11.73038538307999
2009-12-31,0.18038877224826044,0.5353526357525316,0.06601092474851633,3.79,-10.722628874007167
2010-01-31,0.06754536529823296,0.47514512947468757,0.006456135621503822,3.55,-8.803377947737411
2010-02-28,0.08919452650995052,0.6281972708898929,0.06388558642456754,3.48,-7.533748282273056
2010-03-31,0.13482351210909926,0.583123782637262,0.15937073166100535,3.68,-6.206953099376844
2010-04-30,0.1210992038158425,0.4348325489209708,0.19485597247939124,3.53,-4.510277107431138
2010-05-31,0.020831554195911872,0.2903516261515866,0.11448429359702761,3.15,-2.8607594936708836
2010-06-30,-0.0539689748848301,0.17728212194851078,0.05707824372208581,2.79,-1.570904123623329
2010-07-31,0.007317805566314783,0.16255863750478228,0.14307551155603315,2.79,-0.9267204393341388
2010-08-31,-0.050813074474640674,0.08752214660005175,0.09680363480041909,2.33,-0.6372717878057155
2010-09-30,0.0639377198264508,0.16233372527671208,0.2500779682443106,2.37,-0.26770293609671425
2010-10-31,0.1182130926131264,0.27431570720317566,0.33723919041667916,2.51,0.18218096642665937
2010-11-30,0.0928680076097177,0.19797107312926143,0.3354840629388447,2.64,0.6348930248738949
2010-12-31,0.12287753599409901,0.19219916979775142,0.39980350349486105,3.18,0.9943305713039585
2011-01-31,0.13720654932769727,0.31065906636938556,0.4425889413887707,3.27,1.389010221018605
2011-02-28,0.15174567866881916,0.2926902593104721,0.4828023122013658,3.27,1.730920535011804
2011-03-31,0.11745502622180348,0.19437382224623856,0.46932018422583655,3.38,1.9232450389019995
2011-04-30,0.12068839562250866,0.2016615127522392,0.5058815733173319,3.28,1.8649237472766922
2011-05-31,0.079705511640622,0.28079941065369063,0.48169630623671833,2.99,1.6158457127964487
2011-06-30,0.03655734532337207,0.3369079250524758,0.4483202347879316,3.15,1.5699540289704217
2011-07-31,0.03601675604000354,0.26760196276488735,0.4666580356615804,2.72,1.5849644898666249
2011-08-31,-0.01947327724758119,0.26794834401528256,0.385525630098305,2.21,1.8200728029121205
2011-09-30,-0.06657627937400479,0.07063917129726249,0.31598596200372175,1.9,1.7577279418131475
2011-10-31,0.02770049627798188,0.11091347519067152,0.4445093542483014,2.16,1.8531347419466604
2011-11-30,0.0010880999087210519,0.08400668128437849,0.3998071307540161,2.07,1.5728977616454864
2011-12-31,-0.004571547496804995,0.027039564173791053,0.38428321527853093,1.87,1.761810173590117
2012-01-31,0.07403392259263786,0.08152821374553154,0.4928840491187041,1.77,1.843873858349121
2012-02-29,0.1322761913746402,0.11574277583153281,0.5766904493920917,1.9,1.7530291312193969
2012-03-31,0.1672866297766391,0.17797426711311504,0.6454004062313885,2.16,1.895531349172308
2012-04-30,0.13397967433621627,0.1329406022801407,0.6149094631667464,1.85,1.7794507656771374
2012-05-31,0.0372495302524567,0.06420548257014569,0.4873570988026228,1.52,1.8038813370949924
2012-06-30,0.057311558862654044,0.12500694336013685,0.5291326049280307,1.58,1.7762596071733583
2012-07-31,0.05156854302311431,0.11838445061877012,0.532261875496723,1.4,1.833063347258923
2012-08-31,0.0838788988467647,0.23704935638565416,0.5933850628786381,1.48,1.634320735444339
2012-09-30,0.07234327933699447,0.3085341256260927,0.5938611373342211,1.55,1.5486725663716783
2012-10-31,-0.0030434379873880424,0.12196189714828609,0.49595614363726104,1.61,1.5218500255058665
2012-11-30,0.00315798292428604,0.16673054190561376,0.5018394582562811,1.54,1.505998468476144
2012-12-31,-0.004639312537690898,0.16818631784464544,0.48073102872548024,1.73,1.3239412713230925
2013-01-31,0.022010713204699828,0.10680122504098688,0.5077925347220333,1.95,1.2013536379018586
2013-02-28,0.022277237690055296,0.04402423703614344,0.49975716046172924,1.78,1.1232159445992762
2013-03-31,0.04207978797542489,0.023017679365519905,0.5310513663802539,1.8,0.8164983164983264
2013-04-30,0.05727839846453309,0.060124542485057386,0.5558494548428339,1.65,0.6808439102294672
2013-05-31,0.07671543605519693,0.1809558002480789,0.5939049722651861,2.12,0.5878401074907558
2013-06-30,0.044494751874698535,0.11235152472155785,0.5435880669703641,2.48,0.5370028528276505
2013-07-31,0.0998452106967831,0.16940579942188516,0.6263564069217034,2.56,0.1507032819825893
2013-08-31,0.07570461112414928,0.10878209297236174,0.6055354436193592,2.75,0.4355108877721836
2013-09-30,0.1047114926956434,0.14968973829447374,0.6670621234028125,2.62,0.6368359309535832
2013-10-31,0.13272414038970082,0.2756163630798054,0.7350107039122087,2.53,0.7704547357842761
2013-11-30,0.14471340618826267,0.3024557564158621,0.7758732313570806,2.69,1.039396479463539
2013-12-31,0.14939488894450337,0.3499040156180715,0.8125819478630099,2.97,1.0134852165172958
2014-01-31,0.09925349279358797,0.28935793643153906,0.7621842338808191,2.65,0.8025413810399673
2014-02-28,0.12944834023514318,0.34964105201072915,0.8323303288004389,2.61,0.9186570903624514
2014-03-31,0.07554252138482576,0.27567773149268526,0.7668303875617977,2.68,0.9935710111046214
2014-04-30,0.05154691769614739,0.24055221657241588,0.7445117166706239,2.64,1.0936717315077615
2014-05-31,0.07943825178670938,0.25322630128542767,0.8032846291902416,2.44,1.1855067623977256
2014-06-30,0.08948979744189245,0.3230271691183937,0.8403858234550587,2.49,1.3687197462860956
2014-07-31,0.07779275476039382,0.25963130869186757,0.8426579159590493,2.55,1.6970406286574091
2014-08-31,0.11032294958866662,0.3281757755915138,0.9121583441477648,2.32,1.584389593062041
2014-09-30,0.08210445793424159,0.25829656721525596,0.87733022058469,2.5,1.590341382181526
2014-10-31,0.09710139559747888,0.23106642182227888,0.908058647439109,2.34,1.6620959029336024
2014-11-30,0.1255414049853929,0.24369662254479185,0.9696271009835407,2.16,1.7089762734362024
2014-12-31,0.08141838962479175,0.1793651963129872,0.9046875110955166,2.13,1.7081260364842477
2015-01-31,0.04299375598028732,0.17788884125812499,0.8469971128304556,1.66,1.716702604080278
2015-02-28,0.09618828384699207,0.20144741877821226,0.9558509381612099,1.98,1.58060244952003
2015-03-31,0.05031353213872869,0.20522895236476058,0.888965130545589,1.91,1.5707671957671865
2015-04-30,0.0546778925779734,0.23233537945934124,0.9033836653163232,2.04,1.5030142868940555
2015-05-31,0.0630995367131193,0.2064402132102967,0.9234191924647712,2.11,1.534653465346536
2015-06-30,0.025453312710015163,0.14216979642263472,0.8566876234893548,2.34,1.3255392721883696
2015-07-31,0.05621332128339862,0.17891076589595367,0.9176941044159386,2.12,1.2988080558980597
2015-08-31,-0.024880117243642585,0.04703421793564311,0.7697399679852968,2.13,1.116401247742571
2015-09-30,-0.04608457259572585,0.032500736892374205,0.7157523727358974,2.06,1.0245061880173711
2015-10-31,0.05444297362901929,0.11798829828133206,0.8878902156185431,2.08,0.8256355759012513
2015-11-30,0.04795820815836871,0.07531939619491412,0.8752701434204,1.99,0.562805872756944
2015-12-31,0.026377976246384938,0.08426974904393214,0.8285693340424245,2.11,0.5462253383335947
2016-01-31,-0.04136190740482959,0.03151547466244353,0.6891342965920757,1.61,0.725642070933552
2016-02-29,-0.05210808362438013,-0.05394451938601963,0.6446352352927205,1.41,0.5050916496945002
2016-03-31,0.014581412143052308,0.034605663273428844,0.7394671716353165,1.57,0.21976233110858612
2016-04-30,-0.018280922381795905,-0.01652606791923883,0.6699809216635335,1.61,0.2766251728907321
2016-05-31,0.027899568941982533,0.003469225690400979,0.7239473543823784,1.5,-0.024378352023401995
2016-06-30,0.0005951857282424644,0.004762695895103919,0.6684206335809584,1.23,0.1137563987974266
2016-07-31,0.06399172177049284,0.03079594487729853,0.768526073535706,1.18,0.1541832346019678
2016-08-31,0.06767125369394411,0.1161446779540205,0.7662260628441433,1.25,0.008118201006657166
2016-09-30,0.08682512101543827,0.16613971743624845,0.7872052227676409,1.31,-0.07301638812267086
2016-10-31,0.061007836491080214,0.03279103319425536,0.7435786508417745,1.5,-0.14593805740230614
2016-11-30,0.04701955175477135,0.03136455926127679,0.7312233131035157,1.89,-0.14599724227430944
2016-12-31,0.044137043927564346,0.05885787173553525,0.734072005484935,1.94,-0.0729749452687889
2017-01-31,0.08497858302982242,0.1957389196849746,0.8064861689593164,1.93,-0.1618908855431478
2017-02-28,0.11125332519193476,0.26878306497034954,0.8623234468515393,1.83,0.10537407797681642
2017-03-31,0.10828102215961355,0.21245361847750988,0.8792829457178222,1.64,0.38983188499959187
2017-04-30,0.1161406966222891,0.28614240811644875,0.9097610177902069,1.49,0.34077079107504016
2017-05-31,0.1327961359013694,0.2796066283091059,0.958420317286246,1.23,0.6014793139884622
2017-06-30,0.08220521677297188,0.2782487883326241,0.890630611936083,1.28,0.5600194789384005
2017-07-31,0.10644487619391052,0.24313830456553798,0.9473264740486573,1.23,0.3889158969372808
2017-08-31,0.10112631427009999,0.25519546909204793,0.9615291834717512,1.11,0.9416348729604618
2017-09-30,0.07718172523921818,0.22634689689000997,0.9379159462840874,1.27,1.0229763741170794
2017-10-31,0.10117492504082959,0.30143900117573463,1.0034878506938605,1.23,1.144852224748294
2017-11-30,0.09803985937903348,0.3231784213186062,1.0179439248044768,1.15,1.3077735358622444
2017-12-31,0.08398810615578478,0.3151561527740938,1.0048913554337418,1.01,1.4362220058422581
2018-01-31,0.14937164893120247,0.3582768441509303,1.149717316772883,1.26,1.5647802821469048
2018-02-28,0.11385298759738038,0.28593268431430485,1.0925980752389766,1.22,1.6275303643724648
2018-03-31,0.05001315981850918,0.2106054943328628,0.9849296049689562,1.01,1.7393414772267635
2018-04-30,0.03834572105929901,0.18304550676519749,0.9690999172596719,1.08,1.8436160750384012
2018-05-31,0.07706082910719192,0.20365709914974217,1.05190315961431,0.9,1.9875575664539014
2018-06-30,0.0665774197543545,0.24683896745425726,1.0472771254243955,0.92,2.1468926553672274
2018-07-31,0.07319306677366422,0.22985952903765172,1.0757922631141361,0.93,2.3083131557707803
2018-08-31,0.11209237345536849,0.2781868349638592,1.1671110192142264,0.75,2.0345798150382066
2018-09-30,0.0903367013297991,0.2756761078218588,1.1291892313056664,0.86,2.145784778590376
2018-10-31,-0.014111639377047958,0.11499289953599456,0.9196519333340882,0.81,2.1995665087902294
2018-11-30,-0.018089046847011292,0.09165724644190121,0.8896616469656797,0.64,2.1568313021167462
2018-12-31,-0.10057065744083982,-0.010388577961243595,0.7015885450785477,0.24,2.079833613310944
2019-01-31,-0.01846820943498584,-0.006208698022563519,0.8331434962728905,0.22,2.0994651552646237
2019-02-28,0.004676834296505561,0.0354676057277139,0.8591625057038303,0.28,1.8404907975460016
2019-03-31,0.040829380009634875,0.12120109326544282,0.9072619031672104,0.01,1.6857506361323216
2019-04-30,0.08977779971072697,0.17801494314804622,0.9840527400838457,0.08,1.5085351329892749
2019-05-31,-0.0033166310947981836,0.022996008874897722,0.7957095880593443,-0.21,1.2279172938287175
2019-06-30,0.0723373800944156,0.0895182778834136,0.9077284941897279,-0.12,1.0350821744627092
2019-07-31,0.09018896938936938,0.08528781970543031,0.9269795979990316,-0.06,0.8993373303881391
2019-08-31,0.0586923197350675,0.004761899294218219,0.8650961506005996,-0.49,0.7960277427490503
2019-09-30,0.051501486842260524,0.01596825949383507,0.8566440977198722,-0.2,0.6058221872541347
2019-10-31,0.07278275616933061,0.16028619724358784,0.9122579283939387,0.15,0.015709685020826036
2019-11-30,0.09438309387393184,0.20933485071079994,0.9622495101544373,0.19,0.28255238992229703
2019-12-31,0.11605973732575259,0.37963845264563667,1.0122516378409037,0.37,-0.007836376459524619
2020-01-31,0.125709727523017,0.3018268801703021,1.0433531225236794,-0.04,-0.3518373729476165
2020-02-29,0.0395862041833035,0.19222184820161559,0.8990896850039396,-0.14,-0.30511657017681104
2020-03-31,-0.046234363399177414,0.058916320649382126,0.7345900406985584,0.59,-0.8132624335314365
2020-04-30,0.08928971486593729,0.15666080797267634,0.9725610273873868,0.55,-10.973797418850218
2020-05-31,0.13700290079326516,0.34057013869375274,1.0651462450065003,0.51,-9.140710596337453
2020-06-30,0.17473209600884343,0.32404426833432076,1.1623221751392934,0.5,-6.545710487213574
2020-07-31,0.21663404913929707,0.389500047311544,1.2851290937016278,0.46,-6.387802971071155
2020-08-31,0.30043847219110953,0.5746587173725783,1.4925607422549536,0.61,-6.177183517084995
2020-09-30,0.18617143768645827,0.4734025359914016,1.312640921417489,0.59,-5.708923125048882
2020-10-31,0.11276359373793099,0.36729125779399996,1.2054546062438383,0.79,-5.081284850388757
2020-11-30,0.20351955771253105,0.4598748130236847,1.4073305766194761,0.76,-5.157705251624012
